"ID"	"A"	"B"	"C"	"Y"
806	806	-0.18	-5.45	-5.63
807	807	-0.93	-0.41	-1.34
808	808	-0.82	0.7	-0.12
809	809	0.04	-25.05	-25.01
810	810	0.86	-0.59	0.28
811	811	0.89	0.51	1.4
812	812	0.1	9.8	9.9
813	813	-0.78	-0.8	-1.58
814	814	-0.95	0.34	-0.61
815	815	-0.24	4.03	3.79
816	816	0.69	-1.06	-0.37
817	817	0.98	0.19	1.17
818	818	0.38	2.47	2.84
819	819	-0.58	-1.42	-1.99
820	820	-1	0.04	-0.95
821	821	-0.5	1.72	1.22
822	822	0.46	-1.95	-1.5
823	823	1	-0.1	0.9
824	824	0.62	1.27	1.89
825	825	-0.33	-2.9	-3.23
826	826	-0.97	-0.24	-1.22
827	827	-0.72	0.95	0.23
828	828	0.19	-5.19	-5
829	829	0.93	-0.4	0.53
830	830	0.81	0.71	1.53
831	831	-0.05	-20.5	-20.55
832	832	-0.87	-0.58	-1.44
833	833	-0.89	0.52	-0.37
834	834	-0.09	10.74	10.65
835	835	0.79	-0.78	0.01
836	836	0.94	0.35	1.29
837	837	0.23	4.19	4.42
838	838	-0.69	-1.04	-1.73
839	839	-0.98	0.2	-0.78
840	840	-0.37	2.53	2.17
841	841	0.58	-1.39	-0.8
842	842	1	0.05	1.05
843	843	0.49	1.76	2.25
844	844	-0.46	-1.91	-2.37
845	845	-1	-0.09	-1.08
846	846	-0.61	1.29	0.68
847	847	0.33	-2.82	-2.49
848	848	0.97	-0.23	0.74
849	849	0.72	0.97	1.69
850	850	-0.2	-4.95	-5.15
851	851	-0.93	-0.39	-1.32
852	852	-0.81	0.73	-0.08
853	853	0.06	-17.34	-17.29
854	854	0.87	-0.56	0.31
855	855	0.88	0.53	1.41
856	856	0.08	11.88	11.96
857	857	-0.79	-0.77	-1.56
858	858	-0.94	0.36	-0.58
859	859	-0.22	4.36	4.13
860	860	0.7	-1.02	-0.32
861	861	0.98	0.21	1.19
862	862	0.36	2.6	2.96
863	863	-0.59	-1.36	-1.95
864	864	-1	0.06	-0.94
865	865	-0.49	1.79	1.31
866	866	0.47	-1.87	-1.4
867	867	1	-0.08	0.92
868	868	0.61	1.31	1.92
869	869	-0.34	-2.74	-3.09
870	870	-0.98	-0.22	-1.2
871	871	-0.71	0.99	0.28
872	872	0.21	-4.74	-4.53
873	873	0.93	-0.38	0.56
874	874	0.8	0.74	1.54
875	875	-0.07	-15.03	-15.09
876	876	-0.88	-0.55	-1.43
877	877	-0.88	0.54	-0.34
878	878	-0.08	13.28	13.21
879	879	0.8	-0.75	0.04
880	880	0.94	0.37	1.31
881	881	0.22	4.54	4.76
882	882	-0.71	-1	-1.71
883	883	-0.98	0.22	-0.76
884	884	-0.35	2.67	2.32
885	885	0.6	-1.34	-0.74
886	886	1	0.07	1.07
887	887	0.48	1.83	2.31
888	888	-0.48	-1.83	-2.31
889	889	-1	-0.07	-1.07
890	890	-0.6	1.34	0.74
891	891	0.35	-2.67	-2.32
892	892	0.98	-0.22	0.76
893	893	0.71	1	1.71
894	894	-0.22	-4.54	-4.75
895	895	-0.94	-0.37	-1.31
896	896	-0.8	0.75	-0.04
897	897	0.08	-13.26	-13.18
898	898	0.88	-0.54	0.34
899	899	0.88	0.55	1.43
900	900	0.07	15.06	15.13
901	901	-0.8	-0.74	-1.54
902	902	-0.93	0.38	-0.56
903	903	-0.21	4.74	4.53
904	904	0.71	-0.99	-0.27
905	905	0.98	0.23	1.2
906	906	0.34	2.74	3.09
907	907	-0.61	-1.31	-1.92
908	908	-1	0.08	-0.92
909	909	-0.47	1.87	1.4
910	910	0.49	-1.79	-1.31
911	911	1	-0.06	0.94
912	912	0.59	1.36	1.96
913	913	-0.36	-2.6	-2.96
914	914	-0.98	-0.21	-1.19
915	915	-0.7	1.02	0.32
916	916	0.22	-4.35	-4.13
917	917	0.94	-0.36	0.58
918	918	0.79	0.77	1.56
919	919	-0.08	-11.86	-11.94
920	920	-0.88	-0.53	-1.41
921	921	-0.87	0.56	-0.31
922	922	-0.06	17.39	17.33
923	923	0.81	-0.73	0.08
924	924	0.93	0.39	1.32
925	925	0.2	4.96	5.16
926	926	-0.72	-0.97	-1.69
927	927	-0.97	0.23	-0.74
928	928	-0.33	2.82	2.49
929	929	0.61	-1.29	-0.68
930	930	1	0.09	1.08
931	931	0.46	1.91	2.37
932	932	-0.49	-1.76	-2.25
933	933	-1	-0.05	-1.05
934	934	-0.58	1.39	0.81
935	935	0.37	-2.53	-2.16
936	936	0.98	-0.2	0.78
937	937	0.69	1.04	1.73
938	938	-0.23	-4.18	-4.42
939	939	-0.94	-0.35	-1.29
940	940	-0.79	0.78	-0.01
941	941	0.09	-10.72	-10.63
942	942	0.89	-0.52	0.37
943	943	0.87	0.58	1.44
944	944	0.05	20.56	20.61
945	945	-0.81	-0.71	-1.53
946	946	-0.93	0.4	-0.53
947	947	-0.19	5.19	5.01
948	948	0.72	-0.95	-0.23
949	949	0.97	0.24	1.22
950	950	0.33	2.9	3.23
951	951	-0.62	-1.27	-1.89
952	952	-1	0.1	-0.9
953	953	-0.46	1.95	1.5
954	954	0.5	-1.72	-1.22
955	955	1	-0.04	0.95
956	956	0.58	1.42	1.99
957	957	-0.38	-2.47	-2.84
958	958	-0.98	-0.19	-1.17
959	959	-0.69	1.06	0.37
960	960	0.24	-4.03	-3.79
961	961	0.95	-0.34	0.61
962	962	0.78	0.8	1.58
963	963	-0.1	-9.78	-9.89
964	964	-0.89	-0.51	-1.4
965	965	-0.86	0.59	-0.27
966	966	-0.04	25.15	25.11
967	967	0.82	-0.7	0.12
968	968	0.93	0.41	1.34
969	969	0.18	5.45	5.63
970	970	-0.73	-0.94	-1.67
971	971	-0.97	0.25	-0.72
972	972	-0.32	2.99	2.67
973	973	0.63	-1.24	-0.62
974	974	0.99	0.11	1.1
975	975	0.45	2	2.44
976	976	-0.51	-1.69	-2.2
977	977	-1	-0.04	-1.03
978	978	-0.57	1.44	0.87
979	979	0.38	-2.41	-2.02
980	980	0.98	-0.18	0.81
981	981	0.68	1.08	1.76
982	982	-0.25	-3.88	-4.13
983	983	-0.95	-0.33	-1.28
984	984	-0.78	0.81	0.03
985	985	0.11	-9	-8.89
986	986	0.9	-0.5	0.4
987	987	0.86	0.6	1.46
988	988	0.03	32.36	32.39
989	989	-0.82	-0.69	-1.51
990	990	-0.92	0.42	-0.5
991	991	-0.17	5.74	5.57
992	992	0.74	-0.92	-0.18
993	993	0.97	0.26	1.23
994	994	0.31	3.08	3.39
995	995	-0.63	-1.22	-1.86
996	996	-0.99	0.12	-0.88
997	997	-0.44	2.04	1.6
998	998	0.52	-1.65	-1.13
999	999	1	-0.03	0.97
1000	1000	0.56	1.47	2.03
1001	1001	-0.39	-2.35	-2.74
1002	1002	-0.99	-0.17	-1.16
1003	1003	-0.67	1.1	0.42
1004	1004	0.26	-3.74	-3.48
1005	1005	0.95	-0.32	0.63
1006	1006	0.77	0.83	1.6
1007	1007	-0.12	-8.32	-8.44
1008	1008	-0.9	-0.48	-1.38
1009	1009	-0.85	0.61	-0.24
1010	1010	-0.02	45.37	45.35
1011	1011	0.83	-0.67	0.16
1012	1012	0.92	0.43	1.35
1013	1013	0.16	6.06	6.22
1014	1014	-0.74	-0.9	-1.65
1015	1015	-0.96	0.27	-0.69
1016	1016	-0.3	3.17	2.87
1017	1017	0.64	-1.2	-0.56
1018	1018	0.99	0.12	1.12
1019	1019	0.43	2.09	2.52
1020	1020	-0.53	-1.62	-2.14
1021	1021	-1	-0.02	-1.02
1022	1022	-0.56	1.5	0.94
1023	1023	0.4	-2.29	-1.89
1024	1024	0.99	-0.16	0.83
1025	1025	0.67	1.12	1.78
1026	1026	-0.27	-3.61	-3.88
1027	1027	-0.96	-0.31	-1.27
1028	1028	-0.77	0.84	0.08
1029	1029	0.13	-7.74	-7.62
1030	1030	0.9	-0.47	0.43
1031	1031	0.85	0.62	1.47
1032	1032	0.01	75.83	75.84
1033	1033	-0.83	-0.66	-1.5
1034	1034	-0.91	0.44	-0.47
1035	1035	-0.15	6.41	6.25
1036	1036	0.75	-0.89	-0.14
1037	1037	0.96	0.28	1.24
1038	1038	0.29	3.27	3.57
1039	1039	-0.65	-1.18	-1.83
1040	1040	-0.99	0.13	-0.86
1041	1041	-0.42	2.14	1.71
1042	1042	0.53	-1.59	-1.05
1043	1043	1	-0.01	0.99
1044	1044	0.55	1.53	2.08
1045	1045	-0.41	-2.24	-2.64
1046	1046	-0.99	-0.15	-1.14
1047	1047	-0.66	1.14	0.48
1048	1048	0.28	-3.49	-3.22
1049	1049	0.96	-0.3	0.66
1050	1050	0.76	0.86	1.62
1051	1051	-0.14	-7.24	-7.38
1052	1052	-0.91	-0.46	-1.37
1053	1053	-0.84	0.64	-0.21
1054	1054	0	230.66	230.66
1055	1055	0.84	-0.65	0.19
1056	1056	0.91	0.45	1.36
1057	1057	0.15	6.8	6.95
1058	1058	-0.75	-0.87	-1.63
1059	1059	-0.96	0.29	-0.67
1060	1060	-0.28	3.38	3.1
1061	1061	0.65	-1.16	-0.5
1062	1062	0.99	0.14	1.13
1063	1063	0.42	2.19	2.6
1064	1064	-0.54	-1.56	-2.1
1065	1065	-1	0	-1
1066	1066	-0.54	1.56	1.02
1067	1067	0.42	-2.18	-1.77
1068	1068	0.99	-0.14	0.85
1069	1069	0.65	1.16	1.81
1070	1070	-0.28	-3.38	-3.66
1071	1071	-0.96	-0.29	-1.25
1072	1072	-0.75	0.87	0.12
1073	1073	0.15	-6.8	-6.65
1074	1074	0.91	-0.45	0.46
1075	1075	0.84	0.65	1.49
1076	1076	0	-221.43	-221.43
1077	1077	-0.84	-0.64	-1.48
1078	1078	-0.91	0.46	-0.44
1079	1079	-0.14	7.25	7.11
1080	1080	0.76	-0.86	-0.1
1081	1081	0.96	0.3	1.26
1082	1082	0.28	3.5	3.77
1083	1083	-0.66	-1.14	-1.8
1084	1084	-0.99	0.15	-0.84
1085	1085	-0.41	2.24	1.83
1086	1086	0.55	-1.53	-0.98
1087	1087	1	0.01	1.01
1088	1088	0.53	1.59	2.12
1089	1089	-0.42	-2.13	-2.56
1090	1090	-0.99	-0.13	-1.12
1091	1091	-0.65	1.18	0.53
1092	1092	0.29	-3.27	-2.98
1093	1093	0.96	-0.28	0.68
1094	1094	0.75	0.89	1.64
1095	1095	-0.15	-6.4	-6.56
1096	1096	-0.91	-0.44	-1.36
1097	1097	-0.83	0.66	-0.17
1098	1098	0.01	-74.8	-74.79
1099	1099	0.85	-0.62	0.23
1100	1100	0.9	0.47	1.38
1101	1101	0.13	7.76	7.88
1102	1102	-0.77	-0.84	-1.61
1103	1103	-0.96	0.31	-0.64
1104	1104	-0.27	3.62	3.35
1105	1105	0.67	-1.12	-0.45
1106	1106	0.99	0.16	1.15
1107	1107	0.4	2.29	2.69
1108	1108	-0.56	-1.5	-2.05
1109	1109	-1	0.02	-0.98
1110	1110	-0.53	1.62	1.09
1111	1111	0.43	-2.09	-1.65
1112	1112	0.99	-0.12	0.87
1113	1113	0.64	1.2	1.84
1114	1114	-0.3	-3.17	-3.47
1115	1115	-0.96	-0.27	-1.24
1116	1116	-0.74	0.9	0.16
1117	1117	0.16	-6.05	-5.89
1118	1118	0.92	-0.43	0.49
1119	1119	0.83	0.67	1.5
1120	1120	-0.02	-45	-45.02
1121	1121	-0.85	-0.61	-1.46
1122	1122	-0.9	0.48	-0.42
1123	1123	-0.12	8.34	8.22
1124	1124	0.77	-0.83	-0.05
1125	1125	0.95	0.32	1.27
1126	1126	0.26	3.74	4
1127	1127	-0.67	-1.1	-1.77
1128	1128	-0.99	0.17	-0.82
1129	1129	-0.39	2.35	1.96
1130	1130	0.56	-1.47	-0.91
1131	1131	1	0.03	1.03
1132	1132	0.52	1.65	2.17
1133	1133	-0.44	-2.04	-2.48
1134	1134	-0.99	-0.12	-1.11
1135	1135	-0.63	1.22	0.59
1136	1136	0.31	-3.08	-2.77
1137	1137	0.97	-0.26	0.7
1138	1138	0.74	0.92	1.66
1139	1139	-0.17	-5.73	-5.91
1140	1140	-0.92	-0.42	-1.34
1141	1141	-0.82	0.69	-0.14
1142	1142	0.03	-32.17	-32.14
1143	1143	0.86	-0.6	0.26
1144	1144	0.9	0.5	1.39
1145	1145	0.11	9.01	9.12
1146	1146	-0.78	-0.81	-1.59
1147	1147	-0.95	0.33	-0.62
1148	1148	-0.25	3.88	3.63
1149	1149	0.68	-1.08	-0.4
1150	1150	0.98	0.18	1.16
1151	1151	0.38	2.41	2.79
1152	1152	-0.57	-1.44	-2.01
1153	1153	-1	0.04	-0.96
1154	1154	-0.51	1.69	1.18
1155	1155	0.45	-1.99	-1.55
1156	1156	0.99	-0.11	0.89
1157	1157	0.63	1.24	1.87
1158	1158	-0.32	-2.99	-3.3
1159	1159	-0.97	-0.25	-1.22
1160	1160	-0.73	0.94	0.21
1161	1161	0.18	-5.45	-5.27
1162	1162	0.93	-0.41	0.51
1163	1163	0.82	0.7	1.52
1164	1164	-0.04	-25.04	-25.08
1165	1165	-0.86	-0.59	-1.45
1166	1166	-0.89	0.51	-0.39
1167	1167	-0.1	9.8	9.7
1168	1168	0.78	-0.8	-0.01
1169	1169	0.95	0.34	1.29
1170	1170	0.24	4.03	4.27
1171	1171	-0.69	-1.06	-1.75
1172	1172	-0.98	0.19	-0.79
1173	1173	-0.38	2.47	2.09
1174	1174	0.58	-1.42	-0.84
1175	1175	1	0.04	1.04
1176	1176	0.5	1.72	2.22
1177	1177	-0.46	-1.95	-2.41
1178	1178	-1	-0.1	-1.09
1179	1179	-0.62	1.27	0.65
1180	1180	0.33	-2.9	-2.58
1181	1181	0.97	-0.24	0.73
1182	1182	0.72	0.95	1.68
1183	1183	-0.19	-5.19	-5.38
1184	1184	-0.93	-0.4	-1.33
1185	1185	-0.81	0.71	-0.1
1186	1186	0.05	-20.49	-20.44
1187	1187	0.87	-0.58	0.29
1188	1188	0.89	0.52	1.41
1189	1189	0.09	10.74	10.84
1190	1190	-0.79	-0.78	-1.57
1191	1191	-0.94	0.35	-0.59
1192	1192	-0.23	4.19	3.96
1193	1193	0.69	-1.04	-0.35
1194	1194	0.98	0.2	1.18
1195	1195	0.37	2.53	2.9
1196	1196	-0.58	-1.39	-1.97
1197	1197	-1	0.05	-0.95
1198	1198	-0.49	1.76	1.26
1199	1199	0.46	-1.91	-1.45
1200	1200	1	-0.09	0.91
1201	1201	0.61	1.29	1.9
1202	1202	-0.33	-2.82	-3.15
1203	1203	-0.97	-0.23	-1.21
1204	1204	-0.72	0.97	0.25
1205	1205	0.2	-4.95	-4.76
1206	1206	0.93	-0.39	0.54
1207	1207	0.81	0.73	1.54
1208	1208	-0.06	-17.33	-17.39
1209	1209	-0.87	-0.56	-1.43
1210	1210	-0.88	0.53	-0.35
1211	1211	-0.08	11.88	11.8
1212	1212	0.79	-0.77	0.03
1213	1213	0.94	0.36	1.3
1214	1214	0.22	4.36	4.58
1215	1215	-0.7	-1.02	-1.72
1216	1216	-0.98	0.21	-0.77
1217	1217	-0.36	2.6	2.24
1218	1218	0.59	-1.36	-0.77
1219	1219	1	0.06	1.06
1220	1220	0.49	1.79	2.28
1221	1221	-0.47	-1.87	-2.34
1222	1222	-1	-0.08	-1.08
1223	1223	-0.61	1.31	0.71
1224	1224	0.34	-2.74	-2.4
1225	1225	0.98	-0.22	0.75
1226	1226	0.71	0.99	1.7
1227	1227	-0.21	-4.74	-4.94
1228	1228	-0.93	-0.38	-1.31
1229	1229	-0.8	0.74	-0.06
1230	1230	0.07	-15.02	-14.95
1231	1231	0.88	-0.55	0.32
1232	1232	0.88	0.54	1.42
1233	1233	0.08	13.29	13.36
1234	1234	-0.8	-0.75	-1.55
1235	1235	-0.94	0.37	-0.57
1236	1236	-0.22	4.54	4.33
1237	1237	0.71	-1	-0.3
1238	1238	0.98	0.22	1.19
1239	1239	0.35	2.67	3.02
1240	1240	-0.6	-1.34	-1.94
1241	1241	-1	0.07	-0.93
1242	1242	-0.48	1.83	1.35
1243	1243	0.48	-1.83	-1.35
1244	1244	1	-0.07	0.93
1245	1245	0.6	1.34	1.94
1246	1246	-0.35	-2.67	-3.02
1247	1247	-0.98	-0.22	-1.19
1248	1248	-0.71	1	0.3
1249	1249	0.22	-4.54	-4.32
1250	1250	0.94	-0.37	0.57
1251	1251	0.8	0.75	1.55
1252	1252	-0.08	-13.25	-13.33
1253	1253	-0.88	-0.54	-1.42
1254	1254	-0.88	0.55	-0.32
1255	1255	-0.07	15.07	15
1256	1256	0.8	-0.74	0.06
1257	1257	0.93	0.38	1.31
1258	1258	0.21	4.74	4.95
1259	1259	-0.71	-0.99	-1.7
1260	1260	-0.98	0.23	-0.75
1261	1261	-0.34	2.74	2.4
1262	1262	0.61	-1.31	-0.71
1263	1263	1	0.08	1.08
1264	1264	0.47	1.87	2.34
1265	1265	-0.49	-1.79	-2.28
1266	1266	-1	-0.06	-1.06
1267	1267	-0.59	1.36	0.77
1268	1268	0.36	-2.6	-2.24
1269	1269	0.98	-0.21	0.77
1270	1270	0.7	1.02	1.72
1271	1271	-0.22	-4.35	-4.58
1272	1272	-0.94	-0.36	-1.3
1273	1273	-0.79	0.77	-0.02
1274	1274	0.08	-11.85	-11.77
1275	1275	0.88	-0.53	0.35
1276	1276	0.87	0.56	1.43
1277	1277	0.06	17.4	17.46
1278	1278	-0.81	-0.73	-1.54
1279	1279	-0.93	0.39	-0.54
1280	1280	-0.2	4.96	4.76
1281	1281	0.72	-0.97	-0.25
1282	1282	0.97	0.23	1.21
1283	1283	0.33	2.82	3.16
1284	1284	-0.61	-1.29	-1.9
1285	1285	-1	0.09	-0.91
1286	1286	-0.46	1.91	1.45
1287	1287	0.49	-1.76	-1.26
1288	1288	1	-0.05	0.95
1289	1289	0.58	1.39	1.97
1290	1290	-0.37	-2.53	-2.9
1291	1291	-0.98	-0.2	-1.18
1292	1292	-0.69	1.04	0.35
1293	1293	0.23	-4.18	-3.95
1294	1294	0.94	-0.35	0.59
1295	1295	0.79	0.78	1.57
1296	1296	-0.09	-10.72	-10.81
1297	1297	-0.89	-0.52	-1.41
1298	1298	-0.87	0.58	-0.29
1299	1299	-0.05	20.58	20.53
1300	1300	0.81	-0.71	0.1
1301	1301	0.93	0.4	1.33
1302	1302	0.19	5.2	5.38
1303	1303	-0.72	-0.95	-1.68
1304	1304	-0.97	0.24	-0.73
1305	1305	-0.33	2.9	2.58
1306	1306	0.62	-1.27	-0.65
1307	1307	1	0.1	1.09
1308	1308	0.46	1.95	2.41
1309	1309	-0.5	-1.72	-2.22
1310	1310	-1	-0.04	-1.04
1311	1311	-0.58	1.42	0.84
1312	1312	0.38	-2.47	-2.09
1313	1313	0.98	-0.19	0.79
1314	1314	0.69	1.06	1.75
1315	1315	-0.24	-4.03	-4.27
1316	1316	-0.95	-0.34	-1.29
1317	1317	-0.78	0.8	0.01
1318	1318	0.1	-9.78	-9.68
1319	1319	0.89	-0.51	0.39
1320	1320	0.86	0.59	1.45
1321	1321	0.04	25.17	25.21
1322	1322	-0.82	-0.7	-1.52
1323	1323	-0.93	0.41	-0.51
1324	1324	-0.18	5.46	5.27
1325	1325	0.73	-0.94	-0.21
1326	1326	0.97	0.25	1.22
1327	1327	0.32	2.99	3.31
1328	1328	-0.63	-1.24	-1.87
1329	1329	-0.99	0.11	-0.89
1330	1330	-0.45	2	1.55
1331	1331	0.51	-1.69	-1.18
1332	1332	1	-0.04	0.96
1333	1333	0.57	1.44	2.01
1334	1334	-0.38	-2.41	-2.79
1335	1335	-0.98	-0.18	-1.16
1336	1336	-0.68	1.08	0.4
1337	1337	0.25	-3.88	-3.63
1338	1338	0.95	-0.33	0.62
1339	1339	0.78	0.81	1.59
1340	1340	-0.11	-8.99	-9.1
1341	1341	-0.9	-0.5	-1.39
1342	1342	-0.86	0.6	-0.26
1343	1343	-0.03	32.39	32.36
1344	1344	0.82	-0.69	0.14
1345	1345	0.92	0.42	1.34
1346	1346	0.17	5.74	5.91
1347	1347	-0.74	-0.92	-1.66
1348	1348	-0.97	0.26	-0.7
1349	1349	-0.31	3.08	2.77
1350	1350	0.63	-1.22	-0.59
1351	1351	0.99	0.12	1.11
1352	1352	0.44	2.04	2.48
1353	1353	-0.52	-1.65	-2.17
1354	1354	-1	-0.03	-1.03
1355	1355	-0.56	1.47	0.91
1356	1356	0.39	-2.35	-1.96
1357	1357	0.99	-0.17	0.82
1358	1358	0.67	1.1	1.77
1359	1359	-0.26	-3.74	-4
1360	1360	-0.95	-0.32	-1.27
1361	1361	-0.77	0.83	0.05
1362	1362	0.12	-8.32	-8.2
1363	1363	0.9	-0.48	0.42
1364	1364	0.85	0.61	1.46
1365	1365	0.02	45.43	45.45
1366	1366	-0.83	-0.67	-1.5
1367	1367	-0.92	0.43	-0.49
1368	1368	-0.16	6.06	5.89
1369	1369	0.74	-0.9	-0.16
1370	1370	0.96	0.27	1.24
1371	1371	0.3	3.17	3.47
1372	1372	-0.64	-1.2	-1.84
1373	1373	-0.99	0.12	-0.87
1374	1374	-0.43	2.09	1.66
1375	1375	0.53	-1.62	-1.09
1376	1376	1	-0.02	0.98
1377	1377	0.56	1.5	2.05
1378	1378	-0.4	-2.29	-2.69
1379	1379	-0.99	-0.16	-1.15
1380	1380	-0.67	1.12	0.45
1381	1381	0.27	-3.61	-3.35
1382	1382	0.96	-0.31	0.64
1383	1383	0.77	0.84	1.61
1384	1384	-0.13	-7.74	-7.87
1385	1385	-0.9	-0.47	-1.38
1386	1386	-0.85	0.62	-0.22
1387	1387	-0.01	76	75.99
1388	1388	0.83	-0.66	0.17
1389	1389	0.91	0.44	1.36
1390	1390	0.15	6.41	6.56
1391	1391	-0.75	-0.89	-1.64
1392	1392	-0.96	0.28	-0.68
1393	1393	-0.29	3.28	2.98
1394	1394	0.65	-1.18	-0.53
1395	1395	0.99	0.13	1.12
1396	1396	0.42	2.14	2.56
1397	1397	-0.53	-1.59	-2.12
1398	1398	-1	-0.01	-1.01
1399	1399	-0.55	1.53	0.98
1400	1400	0.41	-2.24	-1.83
1401	1401	0.99	-0.15	0.84
1402	1402	0.66	1.14	1.8
1403	1403	-0.28	-3.49	-3.77
1404	1404	-0.96	-0.3	-1.26
1405	1405	-0.76	0.86	0.1
1406	1406	0.14	-7.24	-7.1
1407	1407	0.91	-0.46	0.44
1408	1408	0.84	0.64	1.48
1409	1409	0	232.28	232.28
1410	1410	-0.84	-0.65	-1.49
1411	1411	-0.91	0.45	-0.46
1412	1412	-0.15	6.81	6.66
1413	1413	0.75	-0.87	-0.12
1414	1414	0.96	0.29	1.25
1415	1415	0.28	3.38	3.67
1416	1416	-0.65	-1.16	-1.81
1417	1417	-0.99	0.14	-0.85
1418	1418	-0.42	2.19	1.77
1419	1419	0.54	-1.56	-1.02
1420	1420	1	0	1
1421	1421	0.54	1.56	2.1
1422	1422	-0.42	-2.18	-2.6
1423	1423	-0.99	-0.14	-1.13
1424	1424	-0.65	1.16	0.5
1425	1425	0.28	-3.38	-3.1
1426	1426	0.96	-0.29	0.67
1427	1427	0.75	0.87	1.63
1428	1428	-0.15	-6.79	-6.94
1429	1429	-0.91	-0.45	-1.36
1430	1430	-0.84	0.65	-0.19
1431	1431	0	-219.96	-219.95
1432	1432	0.84	-0.64	0.21
1433	1433	0.91	0.46	1.37
1434	1434	0.14	7.25	7.39
1435	1435	-0.76	-0.86	-1.62
1436	1436	-0.96	0.3	-0.66
1437	1437	-0.28	3.5	3.22
1438	1438	0.66	-1.14	-0.48
1439	1439	0.99	0.15	1.14
1440	1440	0.41	2.24	2.65
1441	1441	-0.55	-1.53	-2.07
1442	1442	-1	0.01	-0.99
1443	1443	-0.53	1.59	1.06
1444	1444	0.42	-2.13	-1.71
1445	1445	0.99	-0.13	0.86
1446	1446	0.65	1.18	1.83
1447	1447	-0.29	-3.27	-3.56
1448	1448	-0.96	-0.28	-1.24
1449	1449	-0.75	0.89	0.14
1450	1450	0.15	-6.4	-6.25
1451	1451	0.91	-0.44	0.47
1452	1452	0.83	0.66	1.5
1453	1453	-0.01	-74.64	-74.65
1454	1454	-0.85	-0.62	-1.47
1455	1455	-0.9	0.47	-0.43
1456	1456	-0.13	7.76	7.63
1457	1457	0.77	-0.84	-0.08
1458	1458	0.96	0.31	1.27
1459	1459	0.27	3.62	3.88
1460	1460	-0.67	-1.12	-1.78
1461	1461	-0.99	0.16	-0.83
1462	1462	-0.4	2.29	1.89
1463	1463	0.56	-1.5	-0.94
1464	1464	1	0.02	1.02
1465	1465	0.53	1.62	2.15
1466	1466	-0.43	-2.09	-2.52
1467	1467	-0.99	-0.12	-1.12
1468	1468	-0.64	1.2	0.56
1469	1469	0.3	-3.17	-2.87
1470	1470	0.96	-0.27	0.69
1471	1471	0.74	0.9	1.65
1472	1472	-0.16	-6.05	-6.21
1473	1473	-0.92	-0.43	-1.35
1474	1474	-0.83	0.67	-0.16
1475	1475	0.02	-44.94	-44.92
1476	1476	0.85	-0.61	0.24
1477	1477	0.9	0.48	1.38
1478	1478	0.12	8.34	8.46
1479	1479	-0.77	-0.83	-1.6
1480	1480	-0.95	0.32	-0.63
1481	1481	-0.26	3.74	3.49
1482	1482	0.67	-1.1	-0.42
1483	1483	0.99	0.17	1.16
1484	1484	0.39	2.35	2.74
1485	1485	-0.56	-1.47	-2.03
1486	1486	-1	0.03	-0.97
1487	1487	-0.52	1.65	1.14
1488	1488	0.44	-2.04	-1.6
1489	1489	0.99	-0.12	0.88
1490	1490	0.63	1.22	1.86
1491	1491	-0.31	-3.08	-3.39
1492	1492	-0.97	-0.26	-1.23
1493	1493	-0.74	0.92	0.18
1494	1494	0.17	-5.73	-5.56
1495	1495	0.92	-0.42	0.5
1496	1496	0.82	0.69	1.51
1497	1497	-0.03	-32.14	-32.17
1498	1498	-0.86	-0.6	-1.46
1499	1499	-0.9	0.5	-0.4
1500	1500	-0.11	9.01	8.9
1501	1501	0.78	-0.81	-0.03
1502	1502	0.95	0.33	1.28
1503	1503	0.25	3.88	4.13
1504	1504	-0.68	-1.08	-1.76
1505	1505	-0.98	0.18	-0.81
1506	1506	-0.38	2.41	2.02
1507	1507	0.57	-1.44	-0.87
1508	1508	1	0.04	1.03
1509	1509	0.51	1.69	2.2
1510	1510	-0.45	-1.99	-2.44
1511	1511	-0.99	-0.11	-1.1
1512	1512	-0.63	1.24	0.62
1513	1513	0.32	-2.99	-2.67
1514	1514	0.97	-0.25	0.72
1515	1515	0.73	0.94	1.67
1516	1516	-0.18	-5.45	-5.63
1517	1517	-0.93	-0.41	-1.34
1518	1518	-0.82	0.7	-0.12
1519	1519	0.04	-25.02	-24.98
1520	1520	0.86	-0.59	0.28
1521	1521	0.89	0.51	1.4
1522	1522	0.1	9.8	9.91
1523	1523	-0.78	-0.8	-1.58
1524	1524	-0.95	0.34	-0.61
1525	1525	-0.24	4.03	3.79
1526	1526	0.69	-1.06	-0.37
1527	1527	0.98	0.19	1.17
1528	1528	0.38	2.47	2.84
1529	1529	-0.58	-1.42	-1.99
1530	1530	-1	0.04	-0.95
1531	1531	-0.5	1.72	1.22
1532	1532	0.46	-1.95	-1.5
1533	1533	1	-0.1	0.9
1534	1534	0.62	1.27	1.89
1535	1535	-0.33	-2.9	-3.23
1536	1536	-0.97	-0.24	-1.22
1537	1537	-0.72	0.95	0.23
1538	1538	0.19	-5.19	-5
1539	1539	0.93	-0.4	0.53
1540	1540	0.81	0.71	1.53
1541	1541	-0.05	-20.47	-20.52
1542	1542	-0.87	-0.58	-1.44
1543	1543	-0.89	0.52	-0.37
1544	1544	-0.09	10.75	10.65
1545	1545	0.79	-0.78	0.01
1546	1546	0.94	0.35	1.29
1547	1547	0.23	4.19	4.42
1548	1548	-0.69	-1.04	-1.73
